Subject,Week,Day,Topic/Task
OOP (Java/C++),Week 1,Day 1,"What is OOP, how its different from conventional Programming.Compare Java and C++ syntax basics (Hello World)"
OOP (Java/C++),Week 1,Day 2,What is java? Install Java JDK and configure IDE (IntelliJ / Code::Blocks / VS Code)
OOP (Java/C++),Week 1,Day 3,Write Hello World in Java and C++
OOP (Java/C++),Week 1,Day 4,Understand variables and data types in Java and C++
OOP (Java/C++),Week 1,Day 5,Practice input/output using Scanner (Java) and cin/cout (C++)
OOP (Java/C++),Week 1,Day 6,Implement basic arithmetic operations
OOP (Java/C++),Week 1,Day 7,Mini quiz: Write condition-based calculator
OOP (Java/C++),Week 2,Day 1,Create a simple 'Student' class in Java and C++
OOP (Java/C++),Week 2,Day 2,Add attributes and a method to display details
OOP (Java/C++),Week 2,Day 3,Use constructors in Java and C++
OOP (Java/C++),Week 2,Day 4,Create multiple objects and call methods
OOP (Java/C++),Week 2,Day 5,Pass parameters to constructors
OOP (Java/C++),Week 2,Day 6,Differentiate between instance and static variables
OOP (Java/C++),Week 2,Day 7,Practice: Make a 'Book' or 'Product' class
OOP (Java/C++),Week 3,Day 1,Apply encapsulation using private members
OOP (Java/C++),Week 3,Day 2,Create getters and setters in Java and C++
OOP (Java/C++),Week 3,Day 3,"Validate values inside setters (e.g., age, balance)"
OOP (Java/C++),Week 3,Day 4,Constructor overloading in Java and C++
OOP (Java/C++),Week 3,Day 5,Practice: Secure 'BankAccount' class with balance checks
OOP (Java/C++),Week 3,Day 6,Refactor code using encapsulation
OOP (Java/C++),Week 3,Day 7,Review and quiz on encapsulation   -  Quiz on Encapsulation
OOP (Java/C++),Week 4,Day 1,"Create parent and child class (e.g., Animal â†’ Dog)"
OOP (Java/C++),Week 4,Day 2,Use `super` in Java and `:` in C++ for inheritance
OOP (Java/C++),Week 4,Day 3,Override methods in child class
OOP (Java/C++),Week 4,Day 4,Use `final` and `virtual` keywords for control
OOP (Java/C++),Week 4,Day 5,Understand is-a relationship and code reuse
OOP (Java/C++),Week 4,Day 6,Practice: Shape â†’ Circle / Rectangle classes
OOP (Java/C++),Week 4,Day 7,Draw inheritance diagram
OOP (Java/C++),Week 5,Day 1,Understand polymorphism with base class reference
OOP (Java/C++),Week 5,Day 2,Implement method overriding examples
OOP (Java/C++),Week 5,Day 3,Dynamic method dispatch (Java virtual methods / C++ vtables)
OOP (Java/C++),Week 5,Day 4,Use abstract classes and interfaces (Java/C++)
OOP (Java/C++),Week 5,Day 5,Practice: Interface Animal â†’ Dog/Cat (Java) / Pure virtual in C++
OOP (Java/C++),Week 5,Day 6,Compare compile-time vs runtime polymorphism
OOP (Java/C++),Week 5,Day 7,Recap exercises on abstraction and polymorphism
OOP (Java/C++),Week 6,Day 1,Understand file I/O in Java and C++
OOP (Java/C++),Week 6,Day 2,Read from a text file line-by-line
OOP (Java/C++),Week 6,Day 3,Write structured output to file
OOP (Java/C++),Week 6,Day 4,"Work with file streams (ifstream/ofstream in C++, FileReader in Java)"
OOP (Java/C++),Week 6,Day 5,Build a student report writer
OOP (Java/C++),Week 6,Day 6,Handle exceptions in file access
OOP (Java/C++),Week 6,Day 7,Create mini logging system to file
OOP (Java/C++),Week 7,Day 1,Understand try/catch in Java and C++
OOP (Java/C++),Week 7,Day 2,Catch multiple exceptions and specific types
OOP (Java/C++),Week 7,Day 3,Create custom exception classes
OOP (Java/C++),Week 7,Day 4,Use finally block (Java) and try-catch-finally pattern
OOP (Java/C++),Week 7,Day 5,Validate user input with exception logic
OOP (Java/C++),Week 7,Day 6,Log errors and exceptions
OOP (Java/C++),Week 7,Day 7,Refactor previous programs to include error handling
OOP (Java/C++),Week 8,Day 1,Introduction to UML Class Diagrams
OOP (Java/C++),Week 8,Day 2,"Draw class with attributes, methods and access modifiers"
OOP (Java/C++),Week 8,Day 3,Represent inheritance and composition
OOP (Java/C++),Week 8,Day 4,Use draw.io to create and export diagram
OOP (Java/C++),Week 8,Day 5,Convert UML into Java/C++ class structures
OOP (Java/C++),Week 8,Day 6,"Practice modeling small systems (Library, Bank)"
OOP (Java/C++),Week 8,Day 7,Document design choices
OOP (Java/C++),Week 9,Day 1,Setup GitHub account and install Git on your system
OOP (Java/C++),Week 9,Day 2,Initialize local Git repository in your project folder
OOP (Java/C++),Week 9,Day 3,Create a GitHub repo and push your code
OOP (Java/C++),Week 9,Day 4,Write a detailed README.md with project title and features
OOP (Java/C++),Week 9,Day 5,Add GitHub link to your resume
OOP (Java/C++),Week 9,Day 6,Polish code structure and add inline comments
OOP (Java/C++),Week 9,Day 7,Practice explaining your project in 2 minutes
OOP (Java/C++),Week 10,Day 1,
OOP (Java/C++),Week 10,Day 2,
OOP (Java/C++),Week 10,Day 3,Practice basic DSA problems: Arrays & Strings
OOP (Java/C++),Week 10,Day 4,"Practice DSA: Search, Sort, Palindrome"
OOP (Java/C++),Week 10,Day 5,
OOP (Java/C++),Week 10,Day 6,Final testing and debugging of your mini project
OOP (Java/C++),Week 10,Day 7,Finalize your GitHub project + README + Docs
